att_len,coherence_time,error,fidelity_mean,filter_threshold,latency_mean,link_length,link_length_km,nodes,protocol,rate_norm_mean,rate_pair_mean,raw_mean,rounds,runs,seed,status,strategy,thr_max,timestamp,topology
22.0,1.0,,0.8500502244100844,0.85,0.014139999999999963,10.0,10,4,dejmps,37202.56453269465,104.33863148702844,531.1,3,10,42,ok,purify_then_swap,0.85,1747016900.1330326,chain
22.0,1.0,,0.852040367001996,0.852,0.09387999999999624,10.0,10,4,dejmps,47114.08443864657,72.87360138200688,4330.9,6,10,42,ok,purify_then_swap,0.852,1747016901.5709243,chain
22.0,1.0,,0.8520891263489063,0.852,0.10797999999999806,10.0,10,4,dejmps,50336.67124796761,29.72218934755437,5274.1,9,10,42,ok,purify_then_swap,0.852,1747016904.2649522,chain
22.0,1.0,,0.8513235282651338,0.85,0.059800000000000804,10.0,10,4,dejmps,52249.73797757156,71.7740403709725,2942.5,12,10,42,ok,purify_then_swap,0.85,1747016909.8281102,chain
22.0,1.0,,0.8491279944609641,0.848,0.022959999999999973,20.0,20,4,dejmps,16544.14214194355,103.0531361825332,378.7,3,10,42,ok,purify_then_swap,0.848,1747016910.4090047,chain
22.0,1.0,,0.8505903415552529,0.85,0.018979999999999962,20.0,20,4,dejmps,25451.89362385668,261.3246764379066,370.8,6,10,42,ok,purify_then_swap,0.85,1747016911.6246996,chain
22.0,1.0,,0.8509377627169649,0.85,0.06830000000000078,20.0,20,4,dejmps,27423.97013470158,137.07533931854195,1474.3,9,10,42,ok,purify_then_swap,0.85,1747016915.0051572,chain
,,Exceeded max trials,,,,,20,,,,,,12,,,error,purify_then_swap,0.848,,chain
22.0,1.0,,0.8486683843549444,0.848,0.15512999999999902,30.0,30,4,dejmps,11157.84699386229,32.82385868033646,1624.7,3,10,42,ok,purify_then_swap,0.848,1747016926.7431698,chain
22.0,1.0,,0.850781776117058,0.85,0.22760999999999956,30.0,30,4,dejmps,13305.966169190275,8.700979725175996,2902.7,6,10,42,ok,purify_then_swap,0.85,1747016928.7371566,chain
,,Exceeded max trials,,,,,30,,,,,,9,,,error,purify_then_swap,0.848,,chain
